day_of_week,season,total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,,,overtime_hours,cutting_output,sewing_output,finishing_output,final_output,daily_target,defect_rate,rework_percentage,machine_utilization,equipment_downtime,cutting_quality,sewing_quality,finishing_quality,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,productivity_gap,target_achieved,absence_rate
1,off-peak,52,10,34,8,9,,,0,190,489,196,181,129,0.0211,0.0504,0.8627,0,0.9239,0.9439,0.9845,1,Finishing,5,1,52,1,0.147540984
2,off-peak,73,11,44,18,6,,,0,199,590,317,181,200,0.0321,0.0585,0.7116,0,0.9625,0.8722,0.9059,1,Cutting,3,1,-19,0,0.075949367
3,off-peak,67,13,44,10,7,,,1.31,266,679,200,185,181,0.0267,0.0798,0.752,0,0.9597,0.8541,0.9758,1,Finishing,0,0,4,1,0.094594595
4,off-peak,58,10,38,10,4,,,1.99,214,594,193,190,145,0.0219,0.0206,0.769,0,0.9407,0.8715,0.9014,1,Finishing,0,0,45,1,0.064516129
5,off-peak,63,9,43,11,8,,,1.74,194,669,238,173,94,0.0166,0.0913,0.7927,0,0.9668,0.9366,0.9532,1,Cutting,0,0,79,1,0.112676056
6,off-peak,74,14,46,14,6,,,0,284,588,310,260,136,0.0138,0.0799,0.8271,0,0.9835,0.8824,0.9369,1,Cutting,0,0,124,1,0.075
0,off-peak,71,11,47,13,11,,,0.21,248,601,273,239,162,0.02,0.0365,0.7891,0,0.9835,0.8854,0.9583,1,Cutting,3,1,77,1,0.134146341
1,off-peak,51,12,30,9,8,,,2.11,274,427,181,171,151,0.0299,0.0611,0.7617,0,0.9687,0.9426,0.9133,1,Finishing,5,1,20,1,0.13559322
2,off-peak,51,10,29,12,4,,,1.29,247,572,286,227,113,0.0155,0.0708,0.9008,0,0.9529,0.9778,0.9359,1,Cutting,0,0,114,1,0.072727273
3,off-peak,52,11,29,12,5,,,0,260,446,292,231,146,0.0188,0.1017,0.9342,0,0.9296,0.8943,0.9102,1,Cutting,5,1,85,1,0.087719298
4,off-peak,66,13,38,15,5,,,0,316,672,346,289,158,0.017,0.0781,0.9218,0,0.9746,0.9335,0.9076,1,Cutting,2,1,131,1,0.070422535
5,off-peak,52,10,31,11,5,,,0.53,173,410,194,157,100,0.0205,0.0836,0.6752,0.75,0.9457,0.9467,0.9649,1,Cutting,3,1,57,1,0.087719298
6,off-peak,53,11,30,12,7,,,1.56,228,500,240,223,102,0.0138,0.0215,0.7702,0,0.9217,0.9339,0.9159,1,Cutting,0,0,121,1,0.116666667
0,off-peak,60,14,36,10,11,,,2.37,395,775,243,226,127,0.0174,0.0718,0.934,0,0.9687,0.9241,0.9087,1,Finishing,0,0,99,1,0.154929577
1,off-peak,65,12,42,11,6,,,3.26,271,651,204,194,162,0.0276,0.0538,0.7013,0,0.964,0.8753,0.9064,1,Finishing,3,1,32,1,0.084507042
2,off-peak,72,14,46,12,5,,,0,238,598,248,229,196,0.0253,0.0394,0.7318,0,0.9566,0.9501,0.9194,1,Finishing,4,1,33,1,0.064935065
