total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
161,54,78,29,28,2173,2991,632,632,751,1,finishing,0,0,6,0
172,79,73,20,35,2989,2482,432,432,425,0,finishing,0,0,-5,1
140,22,54,64,18,932,2114,2536,932,937,1,cutting,0,0,-1,0
151,33,59,59,4,1488,2110,2374,1488,1338,0,cutting,0,0,4,1
175,64,53,58,20,2938,1974,1738,1738,1548,0,finishing,0,0,-2,1
130,58,33,39,24,2409,932,1080,932,974,1,sewing,0,0,2,0
191,68,59,64,41,2480,1562,1683,1562,1474,0,sewing,0,0,5,1
188,36,89,63,11,1533,3016,2362,1533,1765,1,cutting,3,1,20,0
156,78,25,53,20,3273,569,1665,569,689,1,sewing,0,0,3,0
135,80,35,20,31,3607,1049,417,417,390,0,finishing,0,0,2,1
136,30,58,48,27,1236,2162,1653,1236,1474,1,cutting,6,1,20,0
118,48,40,30,7,1828,1268,1072,1072,1040,0,finishing,0,0,5,1
121,60,32,29,2,3040,1473,900,900,843,0,finishing,0,0,-3,1
112,35,34,43,25,1451,959,1107,959,1167,1,sewing,4,0,1,0
172,50,52,70,25,2227,1488,1892,1488,1553,1,sewing,12,1,19,0
184,76,56,52,38,2583,1370,1634,1370,1363,0,sewing,0,0,-2,1
128,33,65,30,16,1262,2517,896,896,849,0,finishing,0,0,-5,1
144,77,30,37,13,3518,1083,1200,1083,1126,1,sewing,4,1,9,0
169,76,77,16,11,3575,2821,571,571,698,1,finishing,12,0,-6,0
188,74,85,29,12,3509,3235,899,899,984,0,finishing,0,0,-3,0
144,45,67,32,4,2267,2501,1228,1228,1287,1,finishing,2,1,12,0
150,62,50,38,27,2182,1645,1048,1048,1006,0,finishing,0,0,5,1
187,77,63,47,19,3455,2121,1699,1699,1674,0,finishing,0,0,4,1
131,38,51,42,20,1468,1687,1195,1195,1245,1,finishing,0,0,-5,0
185,38,90,57,40,1306,2542,1992,1306,1162,0,cutting,0,0,6,1
171,69,38,64,27,2587,1176,2264,1176,1193,1,sewing,0,0,-4,0
212,71,84,57,33,3265,2963,2124,2124,2490,1,finishing,9,1,9,0
195,67,85,43,16,3057,3569,1332,1332,1527,1,finishing,12,0,-2,0
189,80,78,31,5,3522,3380,923,923,1010,0,finishing,0,0,4,0
80,22,28,30,6,1044,1110,973,973,952,0,finishing,0,0,-3,1
170,49,57,64,23,1775,1997,2390,1775,1697,0,cutting,0,0,-2,1
88,26,28,34,18,1044,948,1042,948,1009,1,sewing,2,1,13,0
179,74,40,65,36,3182,932,2003,932,941,1,sewing,8,0,-1,0
203,60,83,60,9,2557,3497,2579,2557,2442,0,cutting,0,0,2,1
199,69,86,44,27,3122,3129,1254,1254,1218,0,finishing,0,0,-2,1
188,76,82,30,29,3172,2991,771,771,767,0,finishing,0,0,1,1
149,80,49,20,15,3702,1756,661,661,779,1,finishing,2,0,0,0
154,64,56,34,37,2374,1669,808,808,937,1,finishing,5,0,-5,0
150,66,49,35,7,3146,2176,1331,1331,1259,0,finishing,0,0,-2,1
148,66,61,21,12,2655,2186,621,621,667,0,finishing,0,0,-6,0
186,55,78,53,38,2257,2266,1589,1589,1597,1,finishing,5,1,5,0
159,59,37,63,13,2618,1206,1873,1206,1111,0,sewing,0,0,-4,1
140,20,77,43,30,547,2383,1380,547,624,1,cutting,11,1,10,0
135,47,39,49,14,2070,1541,1907,1541,1343,0,sewing,0,0,-2,1
153,63,27,63,17,2717,893,1892,893,897,1,sewing,7,1,19,1
147,25,85,37,26,810,3210,1285,810,761,0,cutting,0,0,-2,1
211,68,88,55,28,2967,2800,1797,1797,2044,1,finishing,0,0,4,0
173,58,55,60,10,2371,1743,2058,1743,1672,0,sewing,0,0,-5,1
183,69,78,36,32,2546,2178,1104,1104,1287,1,finishing,8,1,15,0
158,41,73,44,20,1806,3054,1276,1276,1325,1,finishing,8,1,16,0
134,44,44,46,2,1749,2090,1609,1609,1544,0,finishing,0,0,-5,1
