total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
106,25,52,29,25,50,18,1146,2201,729,729,733,1,finishing,3,1,14,1
133,54,40,39,39,33,38,1825,1531,1346,1346,1156,0,finishing,0,0,4,1
116,34,62,20,26,40,19,1089,1715,673,673,664,0,finishing,0,0,-2,1
151,64,34,53,64,22,51,3085,798,1820,798,940,1,sewing,1,0,-6,0
176,71,65,40,57,41,29,2894,1719,1182,1182,1081,0,finishing,0,0,4,1
123,49,43,31,38,32,31,1742,1205,1201,1201,1356,1,finishing,9,1,5,0
138,75,39,24,72,28,21,3337,1102,817,817,808,0,finishing,0,0,2,1
132,58,50,24,51,35,23,2618,1641,1006,1006,1015,1,finishing,5,0,-3,0
131,76,35,20,76,28,14,3928,1160,446,446,466,1,finishing,10,1,10,0
189,79,50,60,64,42,60,3014,1685,2265,1685,1481,0,sewing,0,0,-1,1
127,21,54,52,17,32,35,814,1114,1085,814,726,0,cutting,0,0,2,1
152,35,60,57,31,42,54,1235,1978,2082,1235,1275,1,cutting,0,0,-5,0
179,62,80,37,56,74,31,2805,2572,1233,1233,1201,0,finishing,0,0,5,1
108,44,25,39,34,22,29,1493,1042,1303,1042,1070,1,sewing,1,1,5,0
150,67,65,18,47,57,18,2116,2618,582,582,620,1,finishing,11,1,16,0
135,27,56,52,27,34,52,1056,1468,2000,1056,933,0,cutting,0,0,4,1
160,65,65,30,53,51,21,2512,1948,729,729,776,1,finishing,2,0,-3,0
144,61,26,57,59,19,40,3017,681,1269,681,627,0,sewing,0,0,-2,1
149,38,51,60,31,36,60,1453,1357,2239,1357,1654,0,sewing,0,0,0,0
150,73,60,17,51,46,17,2031,2194,551,551,565,1,finishing,0,0,5,0
170,77,44,49,54,37,49,2469,1480,1500,1480,1546,1,sewing,0,0,-1,0
146,33,56,57,24,44,54,1209,1746,2122,1209,1173,0,cutting,0,0,-4,1
159,71,47,41,49,33,36,2398,1312,1441,1312,1442,1,sewing,7,1,19,0
121,24,60,37,24,48,34,1241,1992,1499,1241,1211,0,cutting,0,0,-4,1
132,57,58,17,42,53,14,1799,2385,511,511,548,1,finishing,0,0,-6,0
160,65,80,15,61,60,11,2686,2837,481,481,492,1,finishing,9,0,0,0
159,35,60,64,32,51,61,1323,2048,2482,1323,1182,0,cutting,0,0,2,1
