total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,target_completion_rate
166,75,45,46,74,45,46,2576,1197,1197,1197,1145,1.0454
167,69,82,16,54,72,12,1578,1578,267,267,599,0.4457
161,62,71,28,54,62,21,1375,1228,515,515,913,0.5641
157,31,77,49,29,75,49,874,874,874,874,1325,0.6596
121,46,29,46,39,22,41,1137,562,562,562,1156,0.4862
123,46,41,36,39,32,31,1179,779,703,703,1106,0.6356
136,73,48,15,56,37,13,1577,847,309,309,521,0.5931
187,78,83,26,61,69,23,1743,1642,509,509,800,0.6362
174,74,78,22,57,68,19,1731,1549,448,448,748,0.5989
154,40,76,38,37,72,31,1293,1293,759,759,1053,0.7208
144,41,80,23,38,69,19,1256,1256,460,460,621,0.7407
124,56,53,15,51,44,14,1600,1041,281,281,387,0.7261
140,74,32,34,62,26,30,1564,660,583,583,1281,0.4551
133,24,60,49,21,53,43,570,570,570,570,953,0.5981
155,67,57,31,54,45,25,1391,1133,551,551,872,0.6319
174,78,51,45,67,39,40,2197,936,927,927,1527,0.6071
146,66,46,34,56,37,26,1731,811,527,527,964,0.5467
133,61,40,32,47,35,28,1377,863,556,556,924,0.6017
130,61,45,24,48,36,19,1535,772,391,391,694,0.5634
168,66,55,47,56,49,38,1622,1084,787,787,1163,0.6767
141,69,40,32,56,40,27,1854,978,635,635,895,0.7095
121,31,59,31,27,45,26,715,715,628,628,1432,0.4385
112,22,43,47,18,39,38,486,486,486,486,972,0.5
156,55,62,39,45,50,32,1305,1305,795,795,1215,0.6543
121,71,26,24,58,25,21,1669,749,447,447,563,0.794
102,53,27,22,42,23,19,1316,467,375,375,587,0.6388
193,60,89,44,55,85,42,1586,1586,1043,1043,1519,0.6866
176,69,87,20,55,68,16,1565,1434,305,305,548,0.5566
195,72,82,41,70,66,40,2264,1582,1101,1101,1344,0.8192
182,66,67,49,60,60,45,2068,1565,1110,1110,1671,0.6643
90,37,37,16,35,33,15,1106,806,363,363,544,0.6673
149,40,76,33,34,68,27,981,981,626,626,1002,0.6248
136,43,45,48,35,44,40,1184,1040,849,849,1255,0.6765
139,30,73,36,25,69,30,724,724,724,724,954,0.7589
141,58,55,28,49,50,26,1398,1290,586,586,665,0.8812
